Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
104.36,83.38,25.68,um,Surface,Position,9,1000000022,422
208.3,218.7,13.06,um,Surface,Position,9,1000000023,401
240.33,257.96,20.22,um,Surface,Position,9,1000000024,420
229.21,356.62,29.1,um,Surface,Position,9,1000000025,425
256.34,155.97,28.36,um,Surface,Position,9,1000000026,424
79.96,331.42,29.86,um,Surface,Position,9,1000000027,426
358.39,224.1,20.22,um,Surface,Position,9,1000000028,419
87.68,5.12,30.48,um,Surface,Position,9,1000000029,429
5.06,254.7,38.81,um,Surface,Position,9,1000000030,434
218.98,270.47,32.82,um,Surface,Position,9,1000000031,430
313.77,189.89,45.72,um,Surface,Position,9,1000000032,433
18.9,222.4,39.5,um,Surface,Position,9,1000000033,431
129.41,260.42,46.18,um,Surface,Position,9,1000000034,436
163.45,190.94,45.56,um,Surface,Position,9,1000000035,437
382.2,78.37,53.3,um,Surface,Position,9,1000000036,440
251.39,88.73,40.14,um,Surface,Position,9,1000000037,435
118.64,63.38,50.72,um,Surface,Position,9,1000000038,439
169.7,235.17,56.02,um,Surface,Position,9,1000000039,442
100.86,178.53,60.93,um,Surface,Position,9,1000000040,444
26.5,191.53,59.46,um,Surface,Position,9,1000000041,443
69.06,309.96,60.43,um,Surface,Position,9,1000000042,446
299.85,287.05,44.11,um,Surface,Position,9,1000000043,438
90.64,215.01,5.43,um,Surface,Position,9,1000000044,400
249.71,124.24,25.74,um,Surface,Position,9,1000000045,427
240.09,138.65,31.74,um,Surface,Position,9,1000000046,423
311.06,222.93,27.22,um,Surface,Position,9,1000000047,428
64.08,12.78,37.3,um,Surface,Position,9,1000000048,432
183.85,384.48,56.52,um,Surface,Position,9,1000000049,441
144.94,133.51,62.15,um,Surface,Position,9,1000000050,447
107.71,302.08,60.96,um,Surface,Position,9,1000000051,445
6.16,12.35,3.23,um,Surface,Position,9,1000000052,392
55.49,232.64,2.52,um,Surface,Position,9,1000000053,402
3.97,378.67,7.57,um,Surface,Position,9,1000000054,409
167.97,257.15,5.89,um,Surface,Position,9,1000000055,403
29.27,166,63.32,um,Surface,Position,9,1000000056,448
357.65,13.85,17.33,um,Surface,Position,10,1000000000,465
252.74,22.01,12.21,um,Surface,Position,10,1000000001,450
80.74,86.28,7.21,um,Surface,Position,10,1000000002,451
369.41,123.61,9.48,um,Surface,Position,10,1000000003,453
364.03,257.33,6.35,um,Surface,Position,10,1000000004,458
9.08,266.9,9.36,um,Surface,Position,10,1000000005,460
268.71,275.51,3.41,um,Surface,Position,10,1000000006,461
68.6,264.68,8.58,um,Surface,Position,10,1000000007,459
285.78,344.78,5.81,um,Surface,Position,10,1000000008,462
